procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 167355360  60652 338605952    0    0    67    34    0    0  5  1 94  0  0
 6  0      0 166750640  60660 339245888    0    0     0 350620 36914 34560  4  1 95  0  0
 8  0      0 165899344  60668 339898752    0    0     0 89343 32705 31666  4  1 95  0  0
 6  0      0 164846352  60668 340560960    0    0   193 321205 38006 36784  5  1 94  0  0
 7  0      0 163721728  60668 341219968    0    0     3   481 33223 36023  4  1 95  0  0
 7  0      0 162952352  60668 341881920    0    0     0 118161 36962 38578  4  1 95  0  0
 7  0      0 162300240  60668 342600064    0    0     0 225392 39004 40595  5  1 94  0  0
 6  0      0 161594608  60668 343283904    0    0     0 43998 35641 38981  4  1 95  0  0
 6  0      0 160759552  60676 343946944    0    0    42 157194 34880 37505  4  1 95  0  0
 7  0      0 161350576  60676 344696032    0    0     0 24772 38905 36059  4  1 95  0  0
 5  0      0 160680032  60676 345356192    0    0     0 185861 34022 30541  3  1 95  0  0
 6  0      0 159888320  60676 346037312    0    0     2 196301 30596 29967  4  1 95  0  0
 6  0      0 159185360  60676 346757536    0    0     0 16553 37022 34722  4  1 95  0  0
 6  0      0 158230528  60676 347617280    0    0     0 197493 40705 36817  4  2 94  0  0
 6  0      0 157491184  60684 348422784    0    0     0 207050 33129 35118  4  1 95  0  0
 8  0      0 156689280  60684 349247072    0    0     0   816 30970 28598  4  0 96  0  0
 7  0      0 155889232  60684 349943552    0    0     0 256426 34566 30568  4  1 95  0  0
 5  0      0 155579424  60684 350371680    0    0     0 180122 26732 30813  3  1 96  0  0
 7  0      0 154704704  60684 351175872    0    0     0 26434 36042 31495  4  1 96  0  0
 8  0      0 154018576  60684 351897632    0    0     0 205489 35940 31935  4  1 95  0  0
 9  0      0 153306928  60692 352579456    0    0     0 265836 36747 28871  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 152909248  60692 353005504    0    0     0   532 21446 23737  3  0 96  0  0
 3  0      0 152895168  60692 353005504    0    0     0 206584 11432 18512  3  1 96  0  0
 3  0      0 152938464  60692 353005504    0    0     0 129796 10479 19634  3  1 97  0  0
 6  0      0 152953648  60692 353005536    0    0     0 137343 10008 20328  3  0 97  0  0
 3  0      0 152901488  60692 353005664    0    0     2 160142 11508 18173  3  1 96  0  0
 4  0      0 152345440  60700 353013792    0    0     0 134582 10662 18993  4  1 96  0  0
 5  0      0 151941840  60708 353021856    0    0     0 122361 11214 20013  4  1 96  0  0
 5  0      0 151780432  60708 353021984    0    0    21   615 12138 20364  4  1 95  0  0
 6  0      0 151902080  60708 353021984    0    0     0   206 11915 20586  4  1 95  0  0
 4  0      0 151769536  60708 353021984    0    0     0  2899 8496 17109  3  0 96  0  0
 6  0      0 151673680  60708 353022016    0    0     0   206 9054 17866  4  0 96  0  0
 6  0      0 151689952  60716 353022016    0    0     0   103 8721 16543  4  0 95  0  0
 5  0      0 151640880  60716 353022016    0    0     0   140 8671 17716  4  0 96  0  0
 6  0      0 151630768  60716 353022016    0    0     0    81 7733 15556  4  0 96  0  0
 6  0      0 151642880  60716 353022016    0    0     0   106 9785 18971  4  0 96  0  0
 4  0      0 151600752  60716 353022016    0    0     0    73 8382 17424  3  0 96  0  0
 5  0      0 151601120  60716 353022016    0    0     0   207 8626 17677  3  0 96  0  0
 4  0      0 151529600  60724 353022048    0    0     0   517 9582 18290  4  0 96  0  0
 5  0      0 151566592  60724 353022048    0    0     0    73 7952 16922  3  0 97  0  0
 6  0      0 151555840  60724 353022048    0    0     0   109 9618 19154  4  0 96  0  0
 5  0      0 151392928  60724 353022080    0    0     0   140 12618 24227  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 151443456  60724 353022080    0    0     0    95 10824 22920  3  0 96  0  0
 5  0      0 151385216  60724 353022080    0    0     0   329 14737 27385  4  1 95  0  0
 6  0      0 151375296  60732 353022144    0    0     0   105 15228 26560  4  1 95  0  0
 5  0      0 151379840  60732 353022336    0    0    41   140 14724 26952  4  1 95  0  0
 9  0      0 151363744  60732 353022880    0    0   103    90 11560 23547  4  0 96  0  0
 4  0      0 151415616  60732 353022912    0    0     0   174 9072 18143  3  0 96  0  0
 4  0      0 151381360  60732 353022912    0    0     0    82 10175 18717  4  0 96  0  0
 4  0      0 151387280  60732 353022912    0    0     0  1517 8156 16561  3  0 96  0  0
 7  0      0 151379296  60740 353022912    0    0     0    85 9132 17958  4  0 96  0  0
 4  0      0 151257824  60740 353022944    0    0     0   146 14686 24672  4  0 96  0  0
16  0      0 151162048  60740 353022944    0    0     0    90 15914 38069  4  0 96  0  0
10  0      0 151201872  60740 353023104    0    0     0   534 19942 47395  4  1 96  0  0
 5  0      0 151169152  60740 353023104    0    0     0   103 13105 27462  4  0 96  0  0
 9  0      0 151119104  60740 353023104    0    0     0  5559 14118 28793  4  0 96  0  0
 5  0      0 151042416  60748 353072160    0    0 22666   337 16940 33666  4  1 95  0  0
 4  0      0 151006000  60748 353035008    0    0  3226   323 12824 30069  4  0 96  0  0
 4  0      0 151143168  60748 353021568    0    0    56   222 8859 18099  4  0 96  0  0
 5  0      0 151167616  60748 352988800    0    0     0   209 13761 22309  4  1 95  0  0
 7  0      0 151193136  60748 352914976    0    0 31672    86 14859 26440  5  1 94  0  0
 5  0      0 151148128  60764 352922048    0    0     0  1182 12308 19513  4  1 96  0  0
 4  0      0 151084288  60772 352912704    0    0     0 20064 10373 28722  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 151183488  60772 352921792    0    0     0   126 9594 20663  4  0 96  0  0
 8  0      0 151198016  60772 352918528    0    0    10    96 8702 17760  4  0 96  0  0
 6  0      0 151029024  60772 352929120    0    0     0    79 16128 27542  4  0 96  0  0
 6  0      0 150985216  60772 352915392    0    0     0    91 15597 32512  4  1 95  0  0
 5  0      0 151031696  60772 352927712    0    0    13  1533 14928 32131  4  0 96  0  0
 7  0      0 151053168  60780 352914976    0    0     0 59087 15000 30230  4  1 96  0  0
 6  0      0 150962496  60780 352923776    0    0   659 41506 17005 34639  4  1 95  0  0
 4  0      0 150979184  60780 352934528    0    0   266   154 14674 31215  4  1 96  0  0
 6  0      0 150988368  60780 352924992    0    0     6    98 11327 24489  4  0 96  0  0
 3  0      0 152981760  60780 352901184    0    0     0   122 9545 18533  3  0 96  0  0
 3  0      0 152977568  60780 352901184    0    0     0   344 8401 17867  3  0 97  0  0
 4  0      0 152979744  60788 352901248    0    0     0  4630 9459 18944  3  0 97  0  0
 5  0      0 152689360  60788 352902144    0    0     0 38858 21193 30301  4  1 95  0  0
 6  0      0 152682688  60788 352902720    0    0     6 36852 18308 33319  4  1 95  0  0
 6  0      0 152554048  60788 352902816    0    0     0   114 17377 38080  3  1 96  0  0
 5  0      0 152667008  60788 352903296    0    0   131    86 17479 38598  3  1 96  0  0
 4  0      0 152542976  60788 352903424    0    0     0   195 17698 37017  4  1 96  0  0
 4  0      0 152583088  60796 352903456    0    0     0  8033 17466 36939  3  1 96  0  0
 6  0      0 152662880  60796 352903488    0    0     0   209 12483 27517  3  1 96  0  0
 5  0      0 152497760  60796 352937088    0    0  7014   138 12048 23747  3  1 96  0  0
 4  0      0 152890144  60796 352938656    0    0     0   267 9246 18715  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 152964848  60796 352938208    0    0     2   275 9183 19238  3  0 97  0  0
 4  0      0 152884720  60796 352938368    0    0    18   311 10860 21744  3  0 96  0  0
 5  0      0 152893984  60804 352938400    0    0     0   674 9089 19566  3  0 97  0  0
 4  0      0 152822608  60812 352938432    0    0     0   238 10191 21215  3  0 96  0  0
 5  0      0 152729024  60812 352938432    0    0     0   202 9334 19016  4  0 96  0  0
 3  0      0 152911648  60812 352938528    0    0     0   106 8647 18133  3  0 97  0  0
 5  0      0 152801328  60812 352938528    0    0     0   202 11414 21397  3  1 96  0  0
 4  0      0 152866176  60812 352938688    0    0     0   328 13282 23587  3  1 96  0  0
 4  0      0 152906976  60820 352939168    0    0     1   814 11436 21093  3  1 96  0  0
 3  0      0 152830400  60820 352939232    0    0     0   351 9614 20589  3  0 97  0  0
 3  0      0 152960784  60820 352939264    0    0     1   295 8150 18279  3  0 97  0  0
 4  0      0 152826048  60820 352939328    0    0     0   205 10299 20502  3  0 97  0  0
 6  0      0 152962704  60820 352939328    0    0     0    86 9002 19700  3  0 97  0  0
 4  0      0 152923584  60820 352939392    0    0     0   223 8957 19610  3  0 97  0  0
 3  0      0 152861792  60828 352939456    0    0     0   740 10378 21062  3  0 97  0  0
 3  0      0 152976656  60828 352939488    0    0     0   372 8620 19273  3  0 97  0  0
 3  0      0 152791488  60828 352939488    0    0     0   121 10139 19625  3  0 97  0  0
 4  0      0 152953552  60828 352948096    0    0   915   811 8523 18885  3  0 97  0  0
 3  0      0 152945760  60828 352948704    0    0     1   677 8652 18545  3  0 97  0  0
 3  0      0 152760832  60828 352948960    0    0     0   213 10996 21814  3  0 97  0  0
 3  0      0 152944704  60836 352949760    0    0     0  1298 8425 18233  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 152803808  60836 352950048    0    0     0   122 8844 20002  3  0 97  0  0
 7  0      0 152938160  60836 352950336    0    0     1   558 12171 21869  3  1 96  0  0
 5  0      0 152890144  60836 352950624    0    0     1   284 13033 22622  3  1 96  0  0
 3  0      0 152807856  60836 352951136    0    0     0    76 10402 19333  3  0 97  0  0
 3  0      0 152946016  60836 352951392    0    0     0   208 8214 17144  3  0 97  0  0
 5  0      0 152875824  60844 352951936    0    0     0   257 9237 18804  3  0 97  0  0
 4  0      0 152870592  60844 352952192    0    0     0   139 8546 17825  3  0 97  0  0
 5  0      0 152944048  60844 352952448    0    0     0   736 8561 20517  3  0 97  0  0
 3  0      0 152788752  60844 352952704    0    0     0    70 10219 19298  3  0 97  0  0
 3  0      0 152933920  60844 352953248    0    0     0    82 9028 19654  3  0 97  0  0
 3  0      0 152931552  60844 352953760    0    0     0   291 8645 18068  3  0 97  0  0
 3  0      0 152896944  60852 352954016    0    0     0   246 9302 18564  3  0 97  0  0
 4  0      0 152875024  60852 352954528    0    0     0   124 8395 18237  3  0 97  0  0
