procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 81713768 228272 398564320    0    0    21    41    0    0  4  1 95  0  0
 3  0      0 81738464 228272 398565056    0    0     0   983 14962 35875  6  1 93  0  0
 5  0      0 81732880 228272 398565056    0    0     0   914 23748 31924  5  1 94  0  0
19  1      0 81548800 228272 398572160    0    0     0  5862 37382 85804 11  2 87  0  0
 9  0      0 81487384 228272 398574848    0    0     0  6088 29038 68681  9  1 90  0  0
 5  0      0 81472664 228272 398573632    0    0     0  4267 26530 54190  8  1 91  0  0
 5  0      0 81451104 228272 398575456    0    0     0  4732 29441 57294  9  1 90  0  0
 5  0      0 81438112 228272 398577504    0    0     0  4179 19802 48154  6  1 93  0  0
 8  0      0 81427752 228276 398579168    0    0     0  4808 19145 45644  5  1 94  0  0
 7  0      0 81420832 228276 398580928    0    0     0  4075 45741 60550  9  1 90  0  0
 6  0      0 81444992 228276 398582944    0    0     0  4936 25154 54898  9  1 90  0  0
 5  0      0 81451168 228276 398584320    0    0     0  4118 20807 51923  8  1 91  0  0
 5  0      0 81399296 228276 398586560    0    0     1  4428 22242 55781  8  1 91  0  0
