procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 81416792 228316 398759872    0    0    21    41    0    0  4  1 95  0  0
 7  0      0 81414280 228324 398759680    0    0     0   724 24395 43072  8  1 90  0  0
 6  0      0 81419664 228324 398759072    0    0     0   941 21135 43592  8  1 90  0  0
 5  0      0 81445416 228324 398760352    0    0     0   885 18280 37175  7  1 92  0  0
 8  0      0 81448872 228324 398761664    0    0     0  5535 28945 48461  6  1 92  0  0
 5  0      0 81444904 228324 398763808    0    0     0  6582 28831 69818  9  2 89  0  0
 4  0      0 81436552 228332 398766400    0    0     0  7003 27745 70624  8  1 90  0  0
 8  0      0 81430512 228332 398769600    0    0     0  6274 28543 70945  8  1 91  0  0
 6  0      0 81428096 228332 398772416    0    0     0  6490 33150 73326  9  2 89  0  0
 6  0      0 81433616 228332 398775712    0    0     0  6827 29033 72803  8  1 91  0  0
 7  0      0 81450104 228332 398777024    0    0     0  5047 19163 50784  5  1 94  0  0
 5  0      0 81430368 228332 398778560    0    0     0  5111 36823 49624  7  1 91  0  0
 3  0      0 81428384 228332 398783040    0    0     0  4983 24273 55314  8  1 91  0  0
 4  0      0 81435360 228332 398781376    0    0     0  4409 22363 52708  8  1 92  0  0
 9  1      0 81475632 228332 398781888    0    0     0  3940 21945 52289  7  1 92  0  0
 5  0      0 81267664 228340 398783680    0    0     0  4258 23710 58955  9  1 90  0  0
 5  0      0 81460328 228348 398787584    0    0     0  4582 17179 39609  4  1 95  0  0
 5  0      0 81455344 228348 398785792    0    0     0  4560 29292 44601  7  1 92  0  0
 8  0      0 81454240 228348 398785696    0    0     3  4859 25303 56461  8  1 90  0  0
 4  0      0 81449312 228348 398787040    0    0     0  3832 29000 50319  8  1 91  0  0
 3  0      0 81403672 228348 398787264    0    0     0  4858 28183 54248  7  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 81442560 228348 398787392    0    0     0  4412 20139 45399  7  1 92  0  0
 5  0      0 81435872 228348 398788640    0    0     0  3850 35200 51637  8  1 91  0  0
 6  1      0 81438704 228348 398789568    0    0     0  3594 23124 52211  9  2 89  0  0
 4  0      0 81451808 228348 398791104    0    0     0  4351 22298 52217  9  1 90  0  0
67  0      0 81435520 228352 398791392    0    0     0  4089 23795 52976  9  1 89  0  0
 6  0      0 81405520 228356 398792672    0    0     1  3927 30403 52410  9  1 90  0  0
 9  0      0 81461328 228360 398793536    0    0     0  3742 18681 43950  7  1 92  0  0
 8  0      0 81454320 228360 398795520    0    0     0  4705 27279 45784  7  1 92  0  0
 7  1      0 81434160 228360 398795712    0    0     0  3980 23680 54295  8  1 90  0  0
 4  0      0 81449696 228364 398796672    0    0     0  4366 23938 56136  9  1 90  0  0
 5  0      0 81462488 228364 398796928    0    0     0  5064 22868 55577  8  1 91  0  0
